State,latitude,longitude,homeless_total
Alaska,63.588753,-154.493062,"2,016"
Alabama,32.318231,-86.902298,"3,434"
Arkansas,35.20105,-91.831833,"2,712"
Arizona,34.048928,-111.093731,"9,865"
California,36.778261,-119.417932,"129,972"
Colorado,39.550051,-105.782067,"10,857"
Connecticut,41.603221,-73.087749,"3,976"
District of Columbia,38.905985,-77.033418,"6,904"
Delaware,38.910832,-75.52767,"1,082"
Florida,27.664827,-81.515754,"31,030"
Georgia,32.157435,-82.907123,"9,499"
Hawaii,19.898682,-155.665857,"6,530"
Iowa,41.878003,-93.097702,"2,749"
Idaho,44.068202,-114.742041,"2,012"
Illinois,40.633125,-89.398528,"10,643"
Indiana,40.551217,-85.602364,"5,258"
Kansas,39.011902,-98.484246,"2,216"
Kentucky,37.839333,-84.270018,"3,688"
Louisiana,31.244823,-92.145024,"3,059"
Massachusetts,42.407211,-71.382437,"20,068"
Maryland,39.045755,-76.641271,"7,144"
Maine,45.253783,-69.445469,"2,516"
Michigan,44.314844,-85.602364,"8,351"
Minnesota,46.729553,-94.6859,"7,243"
Missouri,37.964253,-91.831833,"5,883"
Mississippi,32.354668,-89.398528,"1,352"
Montana,46.879682,-110.362566,"1,405"
North Carolina,35.759573,-79.0193,"9,268"
North Dakota,47.551493,-101.002012,542
Nebraska,41.492537,-99.901813,"2,421"
New Hampshire,43.193852,-71.572395,"1,450"
New Jersey,40.058324,-74.405661,"9,398"
New Mexico,34.97273,-105.032363,"2,551"
Nevada,38.80261,-116.419389,"7,544"
New York,43.299428,-74.217933,"91,897"
Ohio,40.417287,-82.907123,"10,249"
Oklahoma,35.007752,-97.092877,"3,871"
Oregon,43.804133,-120.554201,"14,476"
Pennsylvania,41.203322,-77.194525,"13,512"
Puerto Rico,18.220833,-66.590149,"3,182"
Rhode Island,41.580095,-71.477429,"1,101"
South Carolina,33.836081,-81.163725,"3,933"
South Dakota,43.969515,-99.901813,"1,159"
Tennessee,35.517491,-86.580447,"7,883"
Texas,31.968599,-99.901813,"25,310"
Utah,39.32098,-111.093731,"2,876"
Virginia,37.431573,-78.656894,"5,975"
Vermont,44.558803,-72.577841,"1,291"
Washington,47.751074,-120.740139,"22,304"
Wisconsin,43.78444,-88.787868,"4,907"
West Virginia,38.597626,-80.454903,"1,243"
Wyoming,43.075968,-107.290284,639